Ano,Data do acidente,País do acidente,Modelo da aeronave,Número de mortos
2012,20 de abril,Paquistão,Avião comercial (Bhoja Air),126
2012,9 de maio,Rússia,Avião russo (experimental),46
2012,3 de junho,Nigéria,MD-83 (Dana Air),153
2012,26 de junho,Portugal,Pequena avioneta,2
2012,28 de julho,Brasil,King Air,8
2012,5 de setembro,Portugal,Aeronave ligeira,1
2012,28 de setembro,Nepal,Avião (Sita Air),19
2012,30 de novembro,República do Congo,Avião de carga,20
2012,9 de dezembro,México,Avião de passageiros,"(Número não especificado, mas todos os ocupantes morreram)"
2013,29 de abril,Afeganistão,Boeing 747 (National Airlines),7
2013,6 de julho,EUA (São Francisco),Boeing 777 (Asiana Airlines),2
2013,12 de agosto,Brasil (Pirassununga),Super Tucano,2
2013,3 de outubro,Nigéria,EMBRAER 110,15
2013,17 de novembro,Rússia (Kazan),Boeing 737,50
2013,29 de novembro,Namíbia,Embraer 190 (Linhas Aéreas de Moçambique),33
2014,17 de julho,Ucrânia,Boeing 777 (Malaysia Airlines),298
2014,23 de julho,Taiwan,ATR 72 (Transasia),48
2014,24 de julho,Mali,McDonnell Douglas MD-83 (Air Algérie),116
2014,10 de agosto,Irã (Teerã),Iran-140,40
2014,13 de agosto,Brasil (Santos),Cessna Citation Excel,7
2014,6 de setembro,Colômbia,(Aeronave da Laser),10
2014,28 de dezembro,Indonésia,A320 (Air Asia),162
2015,4 de fevereiro,Taiwan,ATR 72-600 (TransAsia Airways),43
2015,24 de março,França (Alpes),Airbus A320 (Germanwings),150
2015,2 de abril,Brasil (Carapicuíba),Helicóptero (em teste),"(Número não especificado, todos os ocupantes)"
2015,7 de junho,Brasil (Belo Horizonte),King Air C-90,8
2015,30 de junho,Indonésia (Medan),Hercules C-130,141
2015,16 de agosto,Indonésia,ATR-42 (Trigana Air),54
2015,31 de outubro,Egito (Península do Sinai),Airbus A321 (Kogalymavia),224
2015,10 de novembro,Brasil (Guarda-Mor),Cessna Citation 7,4
2016,24 de fevereiro,Nepal,DHC-6 Twin Otter (Tara Air),23
2016,15 de março,Equador,IAI Arava 201,22
2016,19 de março,Rússia (Rostov),Boeing 737-800 (Flydubai),62
2016,19 de março,Brasil (São Paulo),CA-9,7
2016,13 de abril,Papua-Nova Guiné,BN-2T Islander (Sunbird Aviation PNG),12
2016,02 de maio,Brasil (Cubatão),Helicóptero R22,2
2016,19 de maio,Mar Mediterrâneo (Egito),Airbus A320 (EgyptAir),66
2016,2 de julho,Brasil (próximo à EMBRAPA),Monomotor,3
2016,19 de novembro,Brasil (Rio de Janeiro),Helicóptero (Polícia Militar),4
2016,28 de novembro,Colômbia (Medellín),Avro RJ-85 (LaMia),71
2016,4 de dezembro,Brasil (São Lourenço da Serra),Helicóptero,4
2016,7 de dezembro,Paquistão,Avião (Pakistan International Airlines),(Mais de 40)
2016,7 de dezembro,Brasil (Manaus),Pequeno porte,5
2016,20 de dezembro,Colômbia (Puerto Carreño),Boeing 727 (Aerosucre),5
2016,23 de dezembro,Brasil (Manaus),BE-58,3
2016,25 de dezembro,Mar Negro (Rússia),Tupolev Tu-154 (Força Aérea Russa),92
2017,16 de janeiro,Quirguistão,Boeing 747 (MyCargo Airlines),37
2017,19 de janeiro,Brasil,Beechcraft King Air,5
2017,24 de janeiro,Itália,AgustaWestland AW139 (helicóptero),6
2017,20 de março,Sudão do Sul,Antonov An-26 (South Supreme Airlines),0
2017,27 de março,Peru,Boeing 737-300 (Peruvian Airlines),0
2017,17 de abril,Portugal,Avião (matrícula suíça),5
2017,29 de abril,Cuba,Antonov An-26 (Aerogaviota),8
2017,7 de junho,Myanmar,Shaanxi Y-8,122
2017,10 de julho,EUA (Mississippi),Lockheed Martin KC-130 (USMC),16
2017,12 de agosto,Brasil (Luziânia),INPAER Excel Cargo,1
2017,30 de setembro,República Democrática do Congo,Antonov An-12, (Todos a bordo)
2017,14 de outubro,Costa do Marfim,Avião de transporte (Exército da França),4
2017,31 de dezembro,Costa Rica,Nature Air,12
2018,23 de Janeiro,Brasil (Recife),Robinson R44 (helicóptero),3
2018,11 de fevereiro,Rússia,Antonov An-148 (Saratov Airlines),71
2018,18 de fevereiro,Irã,ATR 72-200 (Aseman Airlines),65
2018,22 de fevereiro,Brasil (Manaus),Embraer EMB-720,4
2018,12 de março,Nepal,Bombardier Dash 8 (US-Bangla Airlines),49
2018,11 de abril,Argélia,Ilyushin Il-76 (Exército da Argélia),257
2018,18 de maio,Cuba,Boeing 737 (Cubana de Aviación),(Mais de 100)
2018,22 de julho,Brasil (Paula Freitas),Piper Seneca,3
2018,29 de julho,Brasil (São Paulo),Beechcraft King Air C90,1
2018,1 de agosto,Brasil (Planaltina de Goiás),Embraer EMB-711,1
